Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
20/008,2020-02-01,3,5,30,31,43,48,13,,,4,2,2,0,1,1,2,1.50,38895010,5.00,1356160,225.50,80180,746.50,9600,12442.50,640,20421.00,320,239830.40,40,149877805
20/007,2020-01-23,2,11,13,45,46,49,42,11,,4,2,1,2,0,0,3,0.00,0,1.50,1932270,72.50,106600,195.50,9600,4135.50,640,5240.00,320,83056.30,40,56956207
20/006,2020-01-21,11,14,21,28,37,44,36,,21,3,3,0,2,2,1,1,0.00,0,4.00,624040,78.00,85330,208.00,9600,4479.00,640,5050.60,320,85123.80,40,52169435
20/005,2020-01-18,18,29,32,33,36,40,38,32,18,2,4,0,1,1,4,0,0.00,0,3.00,607520,48.00,101250,176.50,9600,2891.60,640,4765.40,320,53950.90,40,38111373
20/004,2020-01-16,2,20,24,30,32,46,1,,,0,6,1,1,2,1,1,2.00,65041090,7.50,1520900,401.00,75850,1139.00,9600,22665.70,640,34455.10,320,411196.40,40,252741025
20/003,2020-01-12,5,17,35,37,42,49,39,37,,5,1,1,1,0,2,2,0.00,0,6.50,1193790,212.00,97600,553.50,9600,11671.00,640,16557.20,320,226151.20,40,155508613
20/002,2020-01-07,1,24,25,27,31,37,8,37,,5,1,1,0,3,2,0,0.00,0,4.50,1327140,188.50,84480,516.00,9600,11376.60,640,15982.70,320,204804.90,40,128320773
20/001,2020-01-02,15,17,29,30,34,37,40,,,4,2,0,2,2,2,0,0.00,0,6.00,925910,184.50,80290,396.50,9600,8680.50,640,12376.00,320,166014.50,40,112337702
19/144,2019-12-31,5,10,18,20,28,33,17,,,2,4,2,2,1,1,0,0.00,0,1.50,1029510,99.50,41380,224.50,9600,5415.30,640,5874.80,320,89202.80,40,41448970
19/143,2019-12-28,1,22,25,27,31,36,47,,,4,2,1,0,3,2,0,1.00,8000000,2.00,1042650,50.00,111210,149.00,9600,3499.20,640,4142.50,320,68299.90,40,42600865
